X,Y,Z,State
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
1.62013053,4.007133894,1.170166875,0
1.62013053,4.001428417,1.16535138,0
1.62013053,4.001428417,1.164110196,0
1.641743232,3.993757829,1.161028721,0
1.648986608,3.986087241,1.161028721,0
1.65263655,3.984204532,1.156857535,0
1.656286492,3.982321823,1.152686349,2
1.714211645,3.982321823,1.149311804,2
1.769050484,3.982321823,1.148116954,2
1.800225737,3.982321823,1.13343254,2
1.850879725,3.976064782,1.123782409,0
NaN,NaN,1.111039582,0
1.87654804,3.976064782,1.109561408,0
1.895920414,3.976064782,1.099525022,0
1.895920414,3.972936261,1.097511471,2
1.895920414,3.976064782,1.09549792,2
1.895920414,3.972936261,1.094245683,2
1.895920414,3.969807741,1.092993447,2
1.915368381,3.969807741,1.092684028,2
1.928377505,3.957226703,1.086903257,2
1.967556441,3.944582542,1.075704207,2
1.980653346,3.938230826,1.075704207,2
1.980653346,3.931879109,1.072410314,2
1.987207791,3.931879109,1.071997483,2
2.000320679,3.925499692,1.071112699,2
2.000320679,3.925499692,1.071112699,2
2.00687912,3.919120275,1.071584652,2
2.033118882,3.919120275,1.071584652,2
2.033119881,3.919120275,1.071112699,2
2.049507993,3.915917687,1.0711639,2
2.082240284,3.909500608,1.072664768,2
2.098585461,3.906286117,1.073642482,2
2.098585461,3.906286117,1.073642482,2
2.150550299,3.906286117,1.074768034,2
2.15700113,3.90308353,1.076757537,2
2.16345196,3.906286117,1.07874704,2
2.16345196,3.906286117,1.07874704,2
2.182665535,3.90308353,1.092648008,2
2.201879109,3.899880942,1.106548975,2
2.201879109,3.899880942,1.106548975,2
2.227226703,3.906286117,1.174818085,2
2.252321823,3.919120275,1.189801415,2
2.343219407,3.919120275,1.20725904,2
2.434116992,3.937157057,1.20725904,0
NaN,NaN,NaN,0
2.482741474,3.986087241,1.248867548,0
2.503253645,3.986087241,1.273018431,0
2.557819399,4.004114857,1.29862605,0
2.612385153,4.022142473,1.32423367,0
2.638693745,4.038709266,1.34592822,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
