X,Y,Z,State
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
2.440406375,3.865790647,1.196281701,0
2.422071487,3.857898653,1.268834929,0
2.407210368,3.854631619,1.268834929,0
2.34878548,3.852703758,1.268834929,0
2.324617914,3.842072624,1.268834929,0
2.307693974,3.841622495,1.268834929,0
2.289424325,3.828585461,1.268834929,0
2.289424325,3.825332382,1.261828382,0
2.264765137,3.825332382,1.254047695,0
2.227226703,3.825332382,1.254047695,0
2.195499692,3.825332382,1.251308244,0
2.150550299,3.825332382,1.245161602,0
2.08552449,3.825332382,1.232936952,1
2.082254257,3.823693679,1.232498816,1
2.031916858,3.833477438,1.232498816,1
1.984849691,3.841622495,1.232060681,1
1.967556441,3.841622495,1.232936952,1
1.95448549,3.841622495,1.237946609,1
NaN,NaN,NaN,1
1.91543212,3.848127057,1.238480555,1
NaN,NaN,NaN,1
1.838563939,3.854631619,1.239658742,1
NaN,NaN,NaN,1
NaN,NaN,NaN,1
NaN,NaN,NaN,1
NaN,NaN,NaN,1
NaN,NaN,NaN,1
NaN,NaN,NaN,1
NaN,NaN,NaN,1
NaN,NaN,NaN,1
NaN,NaN,NaN,1
NaN,NaN,NaN,1
NaN,NaN,NaN,1
NaN,NaN,NaN,1
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
1.702271698,3.89345196,1.271603016,0
1.714258219,3.883210391,1.245713277,0
1.726244739,3.872968822,1.219823537,0
1.80784722,3.850777142,1.225939316,0
1.889449701,3.828585461,1.228236817,0
1.895920414,3.828585461,1.230145956,0
1.902391128,3.828585461,1.230145956,0
1.908879755,3.825332382,1.224030177,0
1.915368381,3.822079302,1.219823537,0
1.915368381,3.818801896,1.216581397,0
1.92839146,3.820440599,1.218202467,0
1.947945024,3.820440599,1.21843983,0
1.970841651,3.820440599,1.221005187,0
2.003603896,3.820440599,1.223127705,0
2.02656044,3.818801896,1.223127705,0
2.062600091,3.804074275,1.223127705,0
2.11246639,3.785150309,1.223127705,0
2.148152719,3.779071522,1.233320116,0
2.192178291,3.776713422,1.245159595,2
2.220904622,3.777189081,1.248222258,2
2.254544837,3.777189081,1.260080358,2
2.287159289,3.777189081,1.261263407,2
2.318365377,3.776713422,1.273273334,2
2.372738036,3.776713422,1.29283091,2
2.407151394,3.796356786,1.29283091,2
2.434809116,3.822054976,1.30850248,2
2.456561207,3.84160854,1.30850248,2
2.456561207,3.861120245,1.30850248,2
NaN,NaN,NaN,2
NaN,NaN,NaN,2
NaN,NaN,NaN,2
NaN,NaN,NaN,2
NaN,NaN,NaN,2
NaN,NaN,NaN,2
NaN,NaN,NaN,2
NaN,NaN,NaN,2
NaN,NaN,NaN,2
NaN,NaN,NaN,2
NaN,NaN,NaN,2
NaN,NaN,NaN,2
NaN,NaN,NaN,2
NaN,NaN,NaN,2
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
2.098585461,3.928689401,1.090991547,0
2.092054976,3.928689401,1.15890001,0
2.078984025,3.919107396,1.224878648,0
2.072443559,3.912715099,1.227037114,0
2.060301968,3.912715099,1.238352459,0
2.048591508,3.903696708,1.242609561,0
2.028440524,3.894065138,1.316240329,0
2.02,3.89345196,1.385613996,0
2.00967782,3.872968822,1.386228627,0
1.999358785,3.872968822,1.397617319,0
1.991404137,3.872968822,1.443326743,0
1.989046036,3.872968822,1.537700358,0
1.968451965,3.872968822,1.537997676,0
1.967556441,3.872968822,1.539567674,0
1.945142784,3.868823275,1.54114877,0
1.941414539,3.868823275,1.543216531,0
1.931219513,3.872968822,1.54875424,3
1.931219513,3.872968822,1.560140385,3
1.931219513,3.879624982,1.562221573,3
1.931219513,3.881249447,1.585328393,3
1.930795896,3.882148078,1.586653581,3
1.930372279,3.883046709,1.587978769,3
1.93408482,3.890235469,1.590337789,3
1.923026856,3.897424229,1.592696808,3
1.941063639,3.897435458,1.593710495,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,3
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
NaN,NaN,NaN,0
1.893512984,3.84691407,1.647736474,0
1.91469568,3.852047948,1.643000167,0
1.920964504,3.842522753,1.641490839,0
1.92199568,3.837388874,1.630371482,0
1.923026856,3.832254996,1.619252125,0
1.93038593,3.832254996,1.608264663,0
1.937745004,3.832254996,1.611939527,0
1.960013628,3.832254996,1.5972772,0
1.989046036,3.832254996,1.567879445,0
1.989928994,3.842522753,1.560965175,0
1.989928994,3.842522753,1.555368854,0
1.997438727,3.842522753,1.537487936,0
2.004518302,3.852703758,1.536384205,0
2.00967782,3.854289028,1.535192278,0
2.00967782,3.858102382,1.417078915,0
2.01247652,3.862853478,1.397617319,0
2.02,3.872968822,1.392678374,0
2.02,3.876759561,1.390220931,0
2.039679321,3.883046709,1.377102253,0
2.040641215,3.883046709,1.376063546,0
2.040641215,3.89345196,1.26486113,0
2.048595863,3.906309924,1.243156385,4
2.059346654,3.906309924,1.240417759,4
2.065447344,3.906309924,1.235541744,4
2.071548035,3.906309924,1.230665728,4
2.071995797,3.912715099,1.228851421,4
2.072443559,3.919120275,1.230665728,4
2.078984025,3.925499692,1.228851421,4
2.08552449,3.931879109,1.230665728,4
NaN,NaN,NaN,4
NaN,NaN,NaN,4
NaN,NaN,NaN,4
NaN,NaN,NaN,4
NaN,NaN,NaN,4
NaN,NaN,NaN,4
NaN,NaN,NaN,4
NaN,NaN,NaN,4
NaN,NaN,NaN,4
NaN,NaN,NaN,4
NaN,NaN,NaN,4
