X,Y,Z,State,MicroHeight
NaN,NaN,1.142898,1,0.000000
NaN,NaN,1.148048,1,0.000000
NaN,NaN,1.153198,1,0.000000
NaN,NaN,1.155738,1,0.000000
NaN,NaN,1.158277,1,0.000000
NaN,NaN,1.206653,1,0.000000
NaN,NaN,1.255029,1,0.000000
NaN,NaN,1.257853,1,0.000000
NaN,NaN,1.255029,1,0.000000
NaN,NaN,1.257853,1,0.000000
NaN,NaN,1.260677,1,0.000000
NaN,NaN,1.260677,1,0.000000
NaN,NaN,1.260677,1,0.000000
NaN,NaN,1.263705,1,0.000000
NaN,NaN,1.266733,1,0.000000
NaN,NaN,1.266733,1,0.000000
NaN,NaN,1.266733,1,0.000000
2.729623,1.585293,1.266733,1,0.000000
2.766062,1.608469,1.266733,1,0.000000
2.766339,1.562361,1.267109,1,0.000000
2.668483,1.596432,1.267486,1,0.000000
2.604057,1.474335,1.271829,1,0.000000
2.595277,1.468887,1.276172,1,0.000000
2.667998,1.553455,1.354306,1,0.000000
2.619915,1.613448,1.432439,1,0.000000
2.643577,1.593829,1.432857,1,0.000000
2.622974,1.633523,1.433276,1,0.000000
2.613214,1.686631,1.432857,1,0.000000
2.686402,1.662422,1.433276,1,0.000000
2.659177,1.669445,1.435042,1,0.000000
2.606030,1.690572,1.435042,1,0.000000
2.646544,1.771401,1.436809,1,0.000000
2.657601,1.792310,1.444985,1,0.000000
2.664455,1.763261,1.444985,1,0.000000
2.666597,1.843944,1.453161,1,0.000000
2.688242,1.866181,1.453161,1,0.000000
2.728866,1.912252,1.475867,1,0.000000
2.711599,1.963036,1.498573,1,0.000000
2.668037,1.968775,1.517677,1,0.000000
2.672502,1.935667,1.528410,1,0.000000
2.619776,1.951610,1.558282,1,0.000000
2.703853,2.095814,1.604254,1,0.000000
2.694975,2.068499,1.624149,1,0.000000
2.636680,2.067848,1.645140,1,0.000000
2.665160,2.110761,1.649549,1,0.000000
2.645519,2.095140,1.656619,1,0.000000
2.694991,2.146141,1.656914,1,0.000000
2.737328,2.199370,1.657494,1,0.000000
2.738245,2.232394,1.657780,1,0.000000
NaN,NaN,1.663388,1,0.000000
2.631459,2.247911,1.669424,1,0.000000
2.629981,2.293814,1.672703,1,0.000000
NaN,NaN,1.675982,1,0.000000
2.649704,2.323769,1.679134,1,0.000000
NaN,NaN,1.682813,1,0.000000
2.595459,2.399636,1.688433,1,0.000000
2.611618,2.428356,1.694053,1,0.000000
2.565119,2.406736,1.696430,1,0.000000
2.584541,2.396395,1.696766,1,0.000000
2.546096,2.373438,1.698106,1,0.000000
2.506084,2.393215,1.703935,1,0.000000
2.471055,2.413136,1.704643,1,0.000000
2.456261,2.412683,1.716960,1,0.000000
2.413023,2.444513,1.729371,1,0.000000
2.329114,2.416361,1.732914,1,0.000000
NaN,NaN,1.744347,1,0.000000
2.291533,2.428940,1.760221,1,0.000000
NaN,NaN,1.770330,1,0.000000
2.196745,2.418943,1.774003,1,0.000000
2.163938,2.414030,1.777575,1,0.000000
NaN,NaN,1.777575,1,0.000000
NaN,NaN,1.781442,1,0.000000
2.104514,2.423183,1.781442,1,0.000000
2.054112,2.410523,1.781442,1,0.000000
NaN,NaN,1.783366,1,0.000000
NaN,NaN,1.782481,1,0.000000
1.901342,2.415974,1.782481,1,0.000000
1.876358,2.406861,1.782481,1,0.000000
1.810783,2.448674,1.782481,1,0.000000
1.756329,2.449998,1.782481,1,0.000000
NaN,NaN,1.782481,1,0.000000
1.717164,2.356745,1.782481,1,0.000000
1.634829,2.419439,1.783366,1,0.000000
1.531233,2.418168,1.783366,1,0.000000
1.537053,2.428128,1.783366,1,0.000000
1.546709,2.353245,1.784252,1,0.000000
1.490091,2.386453,1.784252,1,0.000000
1.520847,2.370437,1.784873,1,0.000000
1.471895,2.354673,1.784873,1,0.000000
NaN,NaN,1.784252,1,0.000000
1.389053,2.329267,1.783366,1,0.000000
1.395195,2.321787,1.783366,1,0.000000
NaN,NaN,1.783366,1,0.000000
1.323493,2.271656,1.782481,1,0.000000
1.324165,2.276668,1.781442,1,0.000000
1.250264,2.252169,1.780403,1,0.000000
1.250627,2.251234,1.777575,1,0.000000
1.261819,2.255132,1.725997,1,0.000000
1.245110,2.265853,1.671307,1,0.000000
1.223568,2.283694,1.670902,1,0.000000
1.175138,2.279056,1.670780,1,0.000000
NaN,NaN,1.666698,1,0.000000
1.110601,2.221558,1.659596,1,0.000000
1.134119,2.222127,1.656576,1,0.000000
NaN,NaN,1.656576,1,0.000000
NaN,NaN,1.655631,1,0.000000
NaN,NaN,1.654686,1,0.000000
NaN,NaN,1.519908,1,0.000000
NaN,NaN,1.429103,1,0.000000
NaN,NaN,1.330402,1,0.000000
NaN,NaN,1.330402,1,0.000000
NaN,NaN,1.283941,1,0.000000
NaN,NaN,1.223001,1,0.000000
NaN,NaN,1.223001,1,0.000000
0.676751,2.121773,1.200627,1,0.000000
0.797846,2.289857,1.191719,2,0.000000
0.731924,2.339624,1.182811,2,0.000000
0.718281,2.310110,1.182162,2,0.000000
0.637102,2.254148,1.181512,2,0.000000
NaN,NaN,1.173444,2,0.000000
0.711229,2.111750,1.155772,2,0.000000
0.735920,2.135046,1.138818,2,0.000000
NaN,NaN,1.131467,2,0.000000
NaN,NaN,1.130473,2,0.000000
0.547029,2.321661,1.129480,2,0.000000
NaN,NaN,1.128980,2,0.000000
0.658116,2.315038,1.128480,2,0.000000
NaN,NaN,1.127184,2,0.000000
0.532488,2.304677,1.127184,2,0.000000
NaN,NaN,1.127184,2,0.000000
0.701576,2.229067,1.127184,2,0.000000
0.586711,2.297053,1.125889,2,0.000000
NaN,NaN,1.125889,2,0.000000
NaN,NaN,1.125889,2,0.000000
NaN,NaN,1.125889,2,0.000000
NaN,NaN,1.065873,2,0.000000
NaN,NaN,1.021846,2,0.000000
NaN,NaN,0.978585,2,0.000000
NaN,NaN,0.978585,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
NaN,NaN,NaN,2,0.000000
