X,Y,Z,State,MicroHeight
3.094356,1.876126,1.170668,1,0.000000
2.980299,1.884790,1.169676,1,0.000000
NaN,NaN,1.168684,1,0.000000
3.187063,1.861901,1.168684,1,0.000000
2.917583,1.845498,1.168684,1,0.000000
3.145898,1.878601,1.162012,1,0.000000
2.897340,1.792666,1.168684,1,0.000000
2.895254,1.796269,1.168684,1,0.000000
2.809538,1.855622,1.168684,1,0.000000
2.828699,1.848986,1.166481,1,0.000000
2.875805,1.951162,1.168684,1,0.000000
2.881451,1.910272,1.168684,1,0.000000
2.895986,1.941619,1.168684,1,0.000000
2.906963,1.982478,1.169676,1,0.000000
2.953543,1.985174,1.170668,1,0.000000
2.928033,1.963847,1.172140,1,0.000000
2.904585,1.958022,1.172140,1,0.000000
2.970919,1.944964,1.173612,1,0.000000
2.977462,1.996244,1.173612,1,0.000000
3.024525,1.901986,1.173612,1,0.000000
2.952372,1.996914,1.173612,1,0.000000
2.978959,2.043344,1.175572,1,0.000000
2.864842,2.015340,1.175572,1,0.000000
2.711308,2.136854,1.177532,1,0.000000
3.027221,1.978370,1.177532,1,0.000000
2.880884,1.958525,1.177532,1,0.000000
2.720940,1.996542,1.180883,1,0.000000
2.848351,1.998395,1.180883,1,0.000000
2.880429,1.969876,1.180883,1,0.000000
2.904554,1.931886,1.182422,1,0.000000
3.004808,1.973099,1.183338,1,0.000000
2.863013,2.011087,1.192908,1,0.000000
2.902460,1.931102,1.192908,1,0.000000
2.961072,2.006680,1.219573,1,0.000000
2.946078,2.046102,1.236667,1,0.000000
NaN,NaN,1.240858,1,0.000000
2.896269,2.111591,1.254858,1,0.000000
3.057497,1.927187,1.264667,1,0.000000
3.014782,2.093144,1.265758,1,0.000000
3.025647,1.897431,1.266849,1,0.000000
2.957268,2.031901,1.270937,1,0.000000
2.894491,2.045764,1.276333,1,0.000000
2.955642,2.004401,1.288971,1,0.000000
2.715099,2.107511,1.306233,1,0.000000
2.693012,2.106911,1.313045,1,0.000000
2.758349,2.020704,1.313927,1,0.000000
2.752729,2.013568,1.319151,1,0.000000
2.757466,2.041145,1.319151,1,0.000000
2.694866,2.055484,1.324685,1,0.000000
2.779934,1.986060,1.328714,1,0.000000
NaN,NaN,1.361009,1,0.000000
2.751088,1.899603,1.390348,1,0.000000
2.818731,1.979520,1.398990,1,0.000000
2.634389,2.031847,1.421031,1,0.000000
2.680700,2.001527,1.447335,1,0.000000
2.758335,1.919054,1.482750,1,0.000000
2.837598,1.943582,1.459476,1,0.000000
2.791249,1.988925,1.506023,1,0.000000
2.860974,1.957809,1.511642,1,0.000000
2.871513,1.909941,1.522406,1,0.000000
2.922430,1.923583,1.525338,1,0.000000
2.912615,1.966373,1.530637,1,0.000000
2.986874,1.967885,1.540917,1,0.000000
2.995409,1.899007,1.543444,1,0.000000
2.988987,1.888925,1.551562,1,0.000000
3.025580,1.951347,1.602766,1,0.000000
3.076300,1.930489,1.621652,1,0.000000
3.099849,1.963600,1.637398,1,0.000000
3.028784,1.965909,1.645135,1,0.000000
3.116408,1.997195,1.645135,1,0.000000
3.063691,1.994181,1.646732,1,0.000000
3.130515,2.055219,1.646732,1,0.000000
3.145057,2.115980,1.646927,1,0.000000
3.177978,2.112694,1.647122,1,0.000000
3.180539,2.109679,1.649085,1,0.000000
3.186395,2.085924,1.650903,1,0.000000
3.171555,2.073146,1.653539,1,0.000000
3.256140,2.204611,1.654357,1,0.000000
3.274409,2.198346,1.654357,1,0.000000
3.262261,2.194289,1.654357,1,0.000000
3.235226,2.196995,1.657846,1,0.000000
3.251324,2.261039,1.657846,1,0.000000
3.221070,2.270216,1.654357,1,0.000000
3.204293,2.277698,1.657846,1,0.000000
3.196256,2.359629,1.657846,1,0.000000
3.213826,2.439814,1.654357,1,0.000000
3.238605,2.412547,1.670635,1,0.000000
3.206156,2.503536,1.673159,1,0.000000
3.210195,2.528119,1.677840,1,0.000000
3.212325,2.536086,1.687297,1,0.000000
3.299352,2.612427,1.687297,1,0.000000
3.271026,2.520758,1.687297,1,0.000000
NaN,NaN,1.687297,1,0.000000
3.317118,2.694318,1.687297,1,0.000000
NaN,NaN,1.682569,1,0.000000
3.422728,2.743775,1.687297,1,0.000000
NaN,NaN,1.687297,1,0.000000
NaN,NaN,1.701493,1,0.000000
NaN,NaN,1.706515,1,0.000000
NaN,NaN,1.707549,1,0.000000
3.363571,2.821522,1.723295,1,0.000000
NaN,NaN,1.801311,1,0.000000
NaN,NaN,1.807564,1,0.000000
3.362043,2.836068,1.818700,1,0.000000
NaN,NaN,1.818700,1,0.000000
3.389558,3.009428,1.818700,1,0.000000
3.438977,3.073019,1.818700,1,0.000000
3.389686,3.067835,1.818700,1,0.000000
3.390302,3.111544,1.818700,1,0.000000
3.420059,3.137876,1.818700,1,0.000000
3.443558,3.157078,1.851506,1,0.000000
NaN,NaN,1.857158,1,0.000000
NaN,NaN,1.857158,1,0.000000
NaN,NaN,1.854332,1,0.000000
3.370322,3.215656,1.854332,1,0.000000
NaN,NaN,1.851506,1,0.000000
3.268160,3.088102,1.851506,1,0.000000
3.265617,3.099535,1.842659,1,0.000000
3.222098,3.098835,1.833811,1,0.000000
3.257327,3.145950,1.823076,1,0.000000
3.168128,3.082791,1.812342,1,0.000000
3.129202,3.060102,1.833811,1,0.000000
3.122877,2.928472,1.839773,1,0.000000
3.080455,3.049580,1.840367,1,0.000000
3.053460,3.023954,1.840367,1,0.000000
3.040597,3.032166,1.837777,1,0.000000
3.013736,3.014801,1.834499,1,0.000000
2.977580,3.011635,1.832983,1,0.000000
2.996970,2.972962,1.828777,1,0.000000
2.925311,3.008182,1.823097,1,0.000000
2.924797,3.047871,1.816569,1,0.000000
2.860282,3.035256,1.810685,1,0.000000
2.855123,3.052215,1.809028,1,0.000000
2.854169,3.053464,1.808317,1,0.000000
2.796785,3.007656,1.807605,1,0.000000
2.752243,2.973967,1.807564,1,0.000000
2.725216,2.969421,1.804068,1,0.000000
2.701909,2.913811,1.799046,1,0.000000
2.682143,2.896904,1.799046,1,0.000000
2.662859,2.863133,1.797476,1,0.000000
2.638108,2.844552,1.797432,1,0.000000
2.632891,2.903761,1.797432,1,0.000000
2.612480,2.875135,1.797432,1,0.000000
2.569534,2.898507,1.797432,1,0.000000
2.551201,2.807511,1.797432,1,0.000000
2.516960,2.773878,1.797432,1,0.000000
2.503769,2.746768,1.797432,1,0.000000
2.471126,2.761725,1.797432,1,0.000000
2.437866,2.796093,1.797520,1,0.000000
2.428528,2.856476,1.799513,1,0.000000
2.433946,2.827832,1.799513,1,0.000000
2.370357,2.791879,1.799513,1,0.000000
2.336496,2.773064,1.797520,1,0.000000
2.338830,2.789514,1.797520,1,0.000000
2.277886,2.773534,1.797520,1,0.000000
2.212853,2.781379,1.797520,1,0.000000
2.177134,2.772012,1.799513,1,0.000000
2.114882,2.777858,1.799513,1,0.000000
2.172153,2.785477,1.799513,1,0.000000
2.075677,2.738316,1.799513,1,0.000000
NaN,NaN,1.799513,1,0.000000
1.961228,2.761200,1.797112,1,0.000000
2.013811,2.721373,1.796504,1,0.000000
1.927533,2.727812,1.795720,1,0.000000
1.902668,2.677692,1.793608,1,0.000000
1.871950,2.742444,1.791467,1,0.000000
1.884947,2.671727,1.790855,1,0.000000
1.857319,2.597733,1.790446,1,0.000000
NaN,NaN,1.788265,1,0.000000
1.760201,2.526297,1.786475,1,0.000000
1.744953,2.533762,1.780825,1,0.000000
NaN,NaN,1.706684,1,0.000000
1.731029,2.394052,1.706684,1,0.000000
1.704236,2.357628,1.698144,1,0.000000
1.753681,2.436899,1.698144,1,0.000000
NaN,NaN,1.695423,1,0.000000
1.628043,2.325110,1.692170,1,0.000000
1.704873,2.459469,1.687829,1,0.000000
1.669103,2.304343,1.685640,1,0.000000
1.607959,2.410577,1.683548,1,0.000000
1.593356,2.335213,1.681104,1,0.000000
1.577247,2.281451,1.680791,1,0.000000
1.515292,2.319266,1.584297,1,0.000000
1.469791,2.261822,1.444045,1,0.000000
1.373218,2.337881,1.399100,1,0.000000
NaN,NaN,1.379541,1,0.000000
1.595134,2.226311,1.360855,1,0.000000
1.427908,2.262468,1.339794,1,0.000000
1.440337,2.266299,1.282197,1,0.000000
